,bigrams,count
0,"('point', 'crazy')",1
1,"('crazy', 'available')",1
2,"('available', 'bug')",1
3,"('bug', 'great')",1
4,"('great', 'world')",1
5,"('world', 'buffet')",1
6,"('buffet', 'cine')",1
7,"('cine', 'got')",1
8,"('got', 'watlar')",1
9,"('watlar', 'jokingdun')",1
10,"('jokingdun', 'say')",1
11,"('say', 'early')",1
12,"('early', 'hor')",1
13,"('hor', 'already')",1
14,"('already', 'saynah')",1
15,"('saynah', 'think')",1
16,"('think', 'life')",1
17,"('life', 'around')",1
18,"('around', 'thougheven')",1
19,"('thougheven', 'brother')",1
20,"('brother', 'like')",1
21,"('like', 'speak')",1
22,"('speak', 'treat')",1
23,"('treat', 'like')",2
24,"('like', 'aid')",1
25,"('aid', 'patentper')",1
26,"('patentper', 'request')",1
27,"('request', 'smell')",3
28,"('smell', 'belle')",3
29,"('belle', 'minnaminunginte')",3
30,"('minnaminunginte', 'vietnam')",3
31,"('vietnam', 'set')",3
32,"('set', 'callertune')",5
33,"('callertune', 'caller')",5
34,"('caller', 'press')",5
35,"('press', 'copy')",5
36,"('copy', 'friend')",5
37,"('friend', 'callertunegonna')",1
38,"('callertunegonna', 'home')",1
39,"('home', 'soon')",1
40,"('soon', 'want')",1
41,"('want', 'talk')",2
42,"('talk', 'stuff')",1
43,"('stuff', 'anymore')",1
44,"('anymore', 'tonight')",1
45,"('tonight', 'cried')",1
46,"('cried', 'enough')",1
47,"('enough', 'todaysearching')",1
48,"('todaysearching', 'right')",1
49,"('right', 'word')",1
50,"('word', 'thank')",1
51,"('thank', 'breather')",1
52,"('breather', 'promise')",1
53,"('promise', 'wont')",1
54,"('wont', 'take')",1
55,"('take', 'help')",1
56,"('help', 'granted')",1
57,"('granted', 'fulfil')",1
58,"('fulfil', 'promise')",1
59,"('promise', 'wonderful')",1
60,"('wonderful', 'blessing')",1
61,"('blessing', 'timedate')",1
62,"('timedate', 'sundaywatchingremember')",1
63,"('sundaywatchingremember', 'spell')",1
64,"('spell', 'name')",1
65,"('name', 'yes')",1
66,"('yes', 'naughty')",1
67,"('naughty', 'make')",1
68,"('make', 'wetfine')",1
69,"('wetfine', ""that's"")",1
70,"(""that's"", 'way')",2
71,"('way', 'feel')",1
72,"('feel', ""that's"")",1
73,"('way', 'gotseriously')",1
74,"('gotseriously', 'spell')",1
75,"('spell', 'nameism')",1
76,"('nameism', 'going')",1
77,"('going', 'try')",2
78,"('try', 'month')",1
79,"('month', 'jokingpay')",1
80,"('jokingpay', 'first')",1
81,"('first', 'lar')",2
82,"('lar', 'stock')",1
83,"('stock', 'comingaft')",1
84,"('comingaft', 'finish')",1
85,"('finish', 'lunch')",3
86,"('lunch', 'str')",1
87,"('str', 'ard')",1
88,"('ard', 'smith')",2
89,"('smith', 'finish')",1
90,"('lunch', 'alreadyffffffffff')",1
91,"('alreadyffffffffff', 'alright')",1
92,"('alright', 'way')",1
93,"('way', 'meet')",1
94,"('meet', 'soonerforced')",1
95,"('soonerforced', 'eat')",1
96,"('eat', 'slice')",1
97,"('slice', 'really')",1
98,"('really', 'hungry')",1
99,"('hungry', 'tho')",1
100,"('tho', 'suck')",2
101,"('suck', 'mark')",1
102,"('mark', 'getting')",1
103,"('getting', 'worried')",2
104,"('worried', 'know')",2
105,"('know', 'sick')",1
106,"('sick', 'turn')",1
107,"('turn', 'pizza')",1
108,"('pizza', 'lowlow')",1
109,"('lowlow', 'always')",1
110,"('always', 'convincingcatch')",1
111,"('convincingcatch', 'bus')",1
112,"('bus', 'frying')",1
113,"('frying', 'egg')",1
114,"('egg', 'make')",1
115,"('make', 'tea')",1
116,"('tea', 'eating')",1
117,"('eating', 'mon')",1
118,"('mon', 'left')",1
119,"('left', 'dinner')",1
120,"('dinner', 'feel')",1
121,"('feel', 'loveback')",1
122,"('loveback', 'amp')",1
123,"('amp', 'packing')",1
124,"('packing', 'car')",1
125,"('car', 'let')",1
126,"('let', 'know')",29
127,"('know', 'roomarch')",1
128,"('roomarch', 'work')",1
129,"('work', 'vaguely')",1
130,"('vaguely', 'remember')",1
131,"('remember', 'feel')",1
132,"('feel', 'like')",6
133,"('like', 'lowwait')",1
134,"('lowwait', 'still')",1
135,"('still', 'clear')",1
136,"('clear', 'sure')",1
137,"('sure', 'sarcastic')",1
138,"('sarcastic', 'want')",1
139,"('want', 'liveyeah')",1
140,"('liveyeah', 'got')",1
141,"('got', 'apologetic')",1
142,"('apologetic', 'fallen')",1
143,"('fallen', 'actin')",1
144,"('actin', 'like')",1
145,"('like', 'spoilt')",1
146,"('spoilt', 'child')",1
147,"('child', 'got')",1
148,"('got', 'caught')",1
149,"('caught', 'till')",1
150,"('till', 'badly')",1
151,"('badly', 'cheertell')",1
152,"('cheertell', 'anythingfear')",1
153,"('anythingfear', 'fainting')",1
154,"('fainting', 'housework')",1
155,"('housework', 'quick')",1
156,"('quick', 'cuppayup')",1
157,"('cuppayup', 'home')",1
158,"('home', 'look')",1
159,"('look', 'timing')",1
160,"('timing', 'mag')",1
161,"('mag', 'hui')",1
162,"('hui', 'going')",1
163,"('going', 'learn')",1
164,"('learn', 'may')",1
165,"('may', 'lessonoops')",1
166,"('lessonoops', 'let')",1
167,"('know', 'roommate')",1
168,"('roommate', 'donesee')",1
169,"('donesee', 'letter')",1
170,"('letter', 'caranything')",1
171,"('caranything', 'decidehello')",1
172,"('decidehello', 'saturday')",1
173,"('saturday', 'texting')",1
174,"('texting', 'see')",1
175,"('see', 'would')",1
176,"('would', 'decided')",1
177,"('decided', 'anything')",1
178,"('anything', 'trying')",1
179,"('trying', 'invite')",1
180,"('invite', 'anythingplus')",1
181,"('anythingplus', 'ahead')",1
182,"('ahead', 'watt')",1
183,"('watt', 'wanted')",1
184,"('wanted', 'sure')",1
185,"('sure', 'great')",1
186,"('great', 'weekend')",1
187,"('weekend', 'biolforget')",1
188,"('biolforget', 'tell')",1
189,"('tell', 'want')",2
190,"('want', 'need')",4
191,"('need', 'crave')",3
192,"('crave', 'love')",1
193,"('love', 'sweet')",1
194,"('sweet', 'arabian')",1
195,"('arabian', 'steed')",1
196,"('steed', 'mommy')",1
197,"('mommy', 'yummyseeinggreat')",1
198,"('yummyseeinggreat', 'hope')",1
199,"('hope', 'like')",2
200,"('like', 'man')",1
201,"('man', 'well')",1
202,"('well', 'endowed')",1
203,"('endowed', 'list')",1
204,"('list', 'inchcallsmessagesmissed')",1
