,trigrams,count
0,"('point', 'crazy', 'available')",1
1,"('crazy', 'available', 'bug')",1
2,"('available', 'bug', 'great')",1
3,"('bug', 'great', 'world')",1
4,"('great', 'world', 'buffet')",1
5,"('world', 'buffet', 'cine')",1
6,"('buffet', 'cine', 'got')",1
7,"('cine', 'got', 'watlar')",1
8,"('got', 'watlar', 'jokingdun')",1
9,"('watlar', 'jokingdun', 'say')",1
10,"('jokingdun', 'say', 'early')",1
11,"('say', 'early', 'hor')",1
12,"('early', 'hor', 'already')",1
13,"('hor', 'already', 'saynah')",1
14,"('already', 'saynah', 'think')",1
15,"('saynah', 'think', 'life')",1
16,"('think', 'life', 'around')",1
17,"('life', 'around', 'thougheven')",1
18,"('around', 'thougheven', 'brother')",1
19,"('thougheven', 'brother', 'like')",1
20,"('brother', 'like', 'speak')",1
21,"('like', 'speak', 'treat')",1
22,"('speak', 'treat', 'like')",1
23,"('treat', 'like', 'aid')",1
24,"('like', 'aid', 'patentper')",1
25,"('aid', 'patentper', 'request')",1
26,"('patentper', 'request', 'smell')",1
27,"('request', 'smell', 'belle')",3
28,"('smell', 'belle', 'minnaminunginte')",3
29,"('belle', 'minnaminunginte', 'vietnam')",3
30,"('minnaminunginte', 'vietnam', 'set')",3
31,"('vietnam', 'set', 'callertune')",3
32,"('set', 'callertune', 'caller')",5
33,"('callertune', 'caller', 'press')",5
34,"('caller', 'press', 'copy')",5
35,"('press', 'copy', 'friend')",5
36,"('copy', 'friend', 'callertunegonna')",1
37,"('friend', 'callertunegonna', 'home')",1
38,"('callertunegonna', 'home', 'soon')",1
39,"('home', 'soon', 'want')",1
40,"('soon', 'want', 'talk')",1
41,"('want', 'talk', 'stuff')",1
42,"('talk', 'stuff', 'anymore')",1
43,"('stuff', 'anymore', 'tonight')",1
44,"('anymore', 'tonight', 'cried')",1
45,"('tonight', 'cried', 'enough')",1
46,"('cried', 'enough', 'todaysearching')",1
47,"('enough', 'todaysearching', 'right')",1
48,"('todaysearching', 'right', 'word')",1
49,"('right', 'word', 'thank')",1
50,"('word', 'thank', 'breather')",1
51,"('thank', 'breather', 'promise')",1
52,"('breather', 'promise', 'wont')",1
53,"('promise', 'wont', 'take')",1
54,"('wont', 'take', 'help')",1
55,"('take', 'help', 'granted')",1
56,"('help', 'granted', 'fulfil')",1
57,"('granted', 'fulfil', 'promise')",1
58,"('fulfil', 'promise', 'wonderful')",1
59,"('promise', 'wonderful', 'blessing')",1
60,"('wonderful', 'blessing', 'timedate')",1
61,"('blessing', 'timedate', 'sundaywatchingremember')",1
62,"('timedate', 'sundaywatchingremember', 'spell')",1
63,"('sundaywatchingremember', 'spell', 'name')",1
64,"('spell', 'name', 'yes')",1
65,"('name', 'yes', 'naughty')",1
66,"('yes', 'naughty', 'make')",1
67,"('naughty', 'make', 'wetfine')",1
68,"('make', 'wetfine', ""that's"")",1
69,"('wetfine', ""that's"", 'way')",1
70,"(""that's"", 'way', 'feel')",1
71,"('way', 'feel', ""that's"")",1
72,"('feel', ""that's"", 'way')",1
73,"(""that's"", 'way', 'gotseriously')",1
74,"('way', 'gotseriously', 'spell')",1
75,"('gotseriously', 'spell', 'nameism')",1
76,"('spell', 'nameism', 'going')",1
77,"('nameism', 'going', 'try')",1
78,"('going', 'try', 'month')",1
79,"('try', 'month', 'jokingpay')",1
80,"('month', 'jokingpay', 'first')",1
81,"('jokingpay', 'first', 'lar')",1
82,"('first', 'lar', 'stock')",1
83,"('lar', 'stock', 'comingaft')",1
84,"('stock', 'comingaft', 'finish')",1
85,"('comingaft', 'finish', 'lunch')",1
86,"('finish', 'lunch', 'str')",1
87,"('lunch', 'str', 'ard')",1
88,"('str', 'ard', 'smith')",1
89,"('ard', 'smith', 'finish')",1
90,"('smith', 'finish', 'lunch')",1
