,bigram,count
0,"('free', 'entry')",8
1,"('entry', 'wkly')",5
2,"('wkly', 'comp')",4
3,"('comp', 'win')",2
4,"('win', 'cup')",2
5,"('cup', 'final')",4
6,"('final', 'tit')",2
7,"('tit', 'list')",2
8,"('list', 'may')",2
9,"('may', '<num>')",2
10,"('<num>', 'text')",10
11,"('text', '<num>')",19
12,"('<num>', 'receive')",4
13,"('receive', 'entry')",2
14,"('entry', 'question')",2
15,"('question', 'text')",2
16,"('text', 'rate')",6
17,"('rate', 'apply')",5
18,"('apply', '<num>over<num>freeman')",1
19,"('<num>over<num>freeman', 'hey')",1
20,"('hey', 'darling')",1
21,"('darling', 'week')",1
22,"('week', 'word')",1
23,"('word', 'back')",1
24,"('back', 'would')",1
25,"('would', 'like')",1
26,"('like', 'fun')",3
27,"('fun', 'still')",1
28,"('still', 'xxx')",1
29,"('xxx', 'std')",1
30,"('std', 'chs')",1
31,"('chs', 'send')",1
32,"('send', '£<num>')",1
33,"('£<num>', 'revwinner')",1
34,"('revwinner', 'valued')",1
35,"('valued', 'network')",3
36,"('network', 'customer')",3
37,"('customer', 'selected')",3
38,"('selected', 'received')",3
39,"('received', '£<num>')",3
40,"('£<num>', 'prize')",46
41,"('prize', 'reward')",2
42,"('reward', 'claim')",2
43,"('claim', 'call')",17
44,"('call', '<num>')",198
45,"('<num>', 'claim')",26
46,"('claim', 'code')",12
47,"('code', 'klein')",2
48,"('klein', 'valid')",2
49,"('valid', 'hourmobile')",1
50,"('hourmobile', 'month')",1
51,"('month', 'entitled')",6
52,"('entitled', 'update')",6
53,"('update', 'latest')",8
54,"('latest', 'colour')",8
55,"('colour', 'mobile')",2
56,"('mobile', 'camera')",2
57,"('camera', 'free')",2
58,"('free', 'call')",14
59,"('call', 'mobile')",10
60,"('mobile', 'update')",6
61,"('update', 'free')",8
62,"('free', '<num>six')",1
63,"('<num>six', 'chance')",2
64,"('chance', 'win')",13
65,"('win', 'cash')",2
66,"('cash', '<num>')",6
67,"('<num>', 'pound')",5
68,"('pound', 'text')",2
69,"('text', 'send')",2
70,"('send', '<num>')",9
71,"('<num>', 'cost')",6
72,"('cost', '<num>pday')",2
73,"('<num>pday', 'day')",2
74,"('day', 'stand')",2
75,"('stand', 'apply')",2
76,"('apply', 'reply')",2
77,"('reply', 'infourgent')",2
78,"('infourgent', 'week')",1
79,"('week', 'free')",3
80,"('free', 'membership')",2
81,"('membership', '£<num>')",2
82,"('prize', 'jackpot')",2
83,"('jackpot', 'text')",2
84,"('text', 'word')",14
85,"('word', 'claim')",2
86,"('claim', '<num>')",12
87,"('<num>', 'wwwdbuknet')",2
88,"('wwwdbuknet', 'located')",2
89,"('located', 'box')",2
90,"('box', '<num>ldnw<num>a<num>rw<num>xxxmobilemovieclub')",1
91,"('<num>ldnw<num>a<num>rw<num>xxxmobilemovieclub', 'use')",1
92,"('use', 'credit')",1
93,"('credit', 'click')",1
94,"('click', 'link')",1
95,"('link', 'next')",1
96,"('next', 'text')",1
97,"('text', 'message')",6
98,"('message', 'click')",1
99,"('click', 'ottawa')",1
100,"('ottawa', 'xxxmobilemovieclubcomnqjkgighjjgcblengland')",1
101,"('xxxmobilemovieclubcomnqjkgighjjgcblengland', 'macedonia')",1
102,"('macedonia', 'done')",1
103,"('done', 'miss')",3
104,"('miss', 'galatea')",1
105,"('galatea', 'news')",1
106,"('news', 'text')",1
107,"('text', 'national')",1
108,"('national', 'team')",1
109,"('team', '<num>')",1
110,"('<num>', 'leg')",5
111,"('leg', 'england')",1
112,"('england', '<num>')",1
113,"('<num>', 'wale')",1
114,"('wale', 'scotland')",1
115,"('scotland', '<num>txtú<num>')",1
116,"('<num>txtú<num>', 'poboxox<num>w<num>wqthanks')",1
117,"('poboxox<num>w<num>wqthanks', 'subscription')",1
118,"('subscription', 'ringtone')",1
119,"('ringtone', 'mobile')",1
120,"('mobile', 'charged')",6
121,"('charged', 'month')",1
122,"('month', 'please')",1
123,"('please', 'confirm')",1
124,"('confirm', 'replying')",1
125,"('replying', 'yes')",1
126,"('yes', 'reply')",1
127,"('reply', 'charged<num>')",1
128,"('charged<num>', 'rodger')",1
129,"('rodger', 'burn')",1
130,"('burn', 'mag')",1
131,"('mag', 'tried')",1
132,"('tried', 'call')",1
133,"('call', 'reply')",3
134,"('reply', 'sims')",3
135,"('sims', 'free')",1
136,"('free', 'nokia')",2
137,"('nokia', 'mobile')",2
138,"('mobile', 'free')",13
139,"('free', 'camcorder')",8
140,"('camcorder', 'please')",1
141,"('please', 'call')",33
142,"('<num>', 'delivery')",3
143,"('delivery', 'tomorrowsims')",1
144,"('tomorrowsims', 'site')",1
145,"('site', 'new')",1
146,"('new', 'jersey')",1
147,"('jersey', 'devil')",1
148,"('devil', 'detroit')",1
149,"('detroit', 'red')",1
150,"('red', 'wing')",1
