,trigram,count
0,"('free', 'entry', 'wkly')",4
1,"('entry', 'wkly', 'comp')",2
2,"('wkly', 'comp', 'win')",2
3,"('comp', 'win', 'cup')",2
4,"('win', 'cup', 'final')",2
5,"('cup', 'final', 'tit')",2
6,"('final', 'tit', 'list')",2
7,"('tit', 'list', 'may')",2
8,"('list', 'may', '<num>')",2
9,"('may', '<num>', 'text')",2
10,"('<num>', 'text', '<num>')",2
11,"('text', '<num>', 'receive')",2
12,"('<num>', 'receive', 'entry')",2
13,"('receive', 'entry', 'question')",2
14,"('entry', 'question', 'text')",2
15,"('question', 'text', 'rate')",2
16,"('text', 'rate', 'apply')",5
17,"('rate', 'apply', '<num>over<num>freeman')",1
18,"('apply', '<num>over<num>freeman', 'hey')",1
19,"('<num>over<num>freeman', 'hey', 'darling')",1
20,"('hey', 'darling', 'week')",1
21,"('darling', 'week', 'word')",1
22,"('week', 'word', 'back')",1
23,"('word', 'back', 'would')",1
24,"('back', 'would', 'like')",1
25,"('would', 'like', 'fun')",1
26,"('like', 'fun', 'still')",1
27,"('fun', 'still', 'xxx')",1
28,"('still', 'xxx', 'std')",1
29,"('xxx', 'std', 'chs')",1
30,"('std', 'chs', 'send')",1
31,"('chs', 'send', '£<num>')",1
32,"('send', '£<num>', 'revwinner')",1
33,"('£<num>', 'revwinner', 'valued')",1
34,"('revwinner', 'valued', 'network')",1
35,"('valued', 'network', 'customer')",3
36,"('network', 'customer', 'selected')",3
37,"('customer', 'selected', 'received')",2
38,"('selected', 'received', '£<num>')",3
39,"('received', '£<num>', 'prize')",2
40,"('£<num>', 'prize', 'reward')",2
41,"('prize', 'reward', 'claim')",2
42,"('reward', 'claim', 'call')",2
43,"('claim', 'call', '<num>')",11
44,"('call', '<num>', 'claim')",21
45,"('<num>', 'claim', 'code')",7
46,"('claim', 'code', 'klein')",2
47,"('code', 'klein', 'valid')",2
48,"('klein', 'valid', 'hourmobile')",1
49,"('valid', 'hourmobile', 'month')",1
50,"('hourmobile', 'month', 'entitled')",1
51,"('month', 'entitled', 'update')",6
52,"('entitled', 'update', 'latest')",6
53,"('update', 'latest', 'colour')",6
54,"('latest', 'colour', 'mobile')",2
